id,value
publicHealthService,10830
enhanceElderlyServices,2492
non-meansTestedPublicTransportFareSubsidyScheme,2439
improveRehabilitationServicesAndStrengthenCommunitySupportForPWDs,695
exchangeAndInternshipOpportunitiesForYoungPeople,500
improveEnvironmentalAndPublicCleanlinessAndLawEnforcement,396
wasteReductionAndRecycling,389
chineseMedicine,377
provideRecurrentAirCconditioningGrantForPublicSectorSchools,367
promoteArtsAndCulture,282
enhanceCounterTerrorismCapabilityAndPreparedness,281
theBeltAndRoadInitiativeAndTheGuangdongHongKongMacaoBayAreaDevelopment,138
setUpACommissionForThePlanningOfHumanResources,123
financialServicesDevelopmentCouncil,43
setUpCommissionOnChildren,12
implementTwoTaxMeasures,5800
eesearchEndowmentFund,3000
operationBuildingBright2,3000
fireSafetyImprovementWorksSubsidyScheme,2000
qualificationsFrameworkFund,1200
countrysideConservationOffice,1000
createSmartInitiative,1000
artsAndSportDevelopmentFundSportsPortion,1000
elderlyAndRehabilitationServiceUnits,1000
telecommunicationsCompanies,774
shortTermFoodAssistanceService,447
partnershipFundForTheDisadvantaged,400
childDevelopmentFund,300
fosterArtsDevelopmentForPWDs,250
hostelDevelopmentFund,12000
innovationAndTechnologyFund,10000
smartCityDevelopment,700
onStreetParkingMeters,304
