male-Hong Kong Island-18 to 20,4993
male-Hong Kong Island-21 to 25,10171
male-Hong Kong Island-26 to 30,11241
male-Hong Kong Island-31 to 35,11883
male-Hong Kong Island-36 to 40,12837
male-Hong Kong Island-41 to 45,14760
male-Hong Kong Island-46 to 50,16626
male-Hong Kong Island-51 to 55,20970
male-Hong Kong Island-56 to 60,22163
male-Hong Kong Island-61 to 65,19387
male-Hong Kong Island-66 to 70,17251
male-Hong Kong Island-71 or above,24612
male-Kowloon West-18 to 20,4088
male-Kowloon West-21 to 25,8204
male-Kowloon West-26 to 30,8778
male-Kowloon West-31 to 35,9693
male-Kowloon West-36 to 40,10260
male-Kowloon West-41 to 45,12077
male-Kowloon West-46 to 50,12703
male-Kowloon West-51 to 55,14127
male-Kowloon West-56 to 60,15310
male-Kowloon West-61 to 65,13406
male-Kowloon West-66 to 70,12152
male-Kowloon West-71 or above,20659
male-Kowloon East-18 to 20,5871
male-Kowloon East-21 to 25,11585
male-Kowloon East-26 to 30,10979
male-Kowloon East-31 to 35,10686
male-Kowloon East-36 to 40,10860
male-Kowloon East-41 to 45,12004
male-Kowloon East-46 to 50,14025
male-Kowloon East-51 to 55,17839
male-Kowloon East-56 to 60,18296
male-Kowloon East-61 to 65,14890
male-Kowloon East-66 to 70,13426
male-Kowloon East-71 or above,26267
male-New Territories West-18 to 20,11138
male-New Territories West-21 to 25,23184
male-New Territories West-26 to 30,22296
male-New Territories West-31 to 35,22563
male-New Territories West-36 to 40,22824
male-New Territories West-41 to 45,23298
male-New Territories West-46 to 50,25514
male-New Territories West-51 to 55,33717
male-New Territories West-56 to 60,37074
male-New Territories West-61 to 65,30077
male-New Territories West-66 to 70,23654
male-New Territories West-71 or above,33285
male-New Territories East-18 to 20,10759
male-New Territories East-21 to 25,22279
male-New Territories East-26 to 30,23498
male-New Territories East-31 to 35,23894
male-New Territories East-36 to 40,21097
male-New Territories East-41 to 45,21133
male-New Territories East-46 to 50,23633
male-New Territories East-51 to 55,32735
male-New Territories East-56 to 60,37294
male-New Territories East-61 to 65,28866
male-New Territories East-66 to 70,22188
male-New Territories East-71 or above,26593
female-Hong Kong Island-18 to 20,4736
female-Hong Kong Island-21 to 25,10078
female-Hong Kong Island-26 to 30,11279
female-Hong Kong Island-31 to 35,11871
female-Hong Kong Island-36 to 40,13547
female-Hong Kong Island-41 to 45,16818
female-Hong Kong Island-46 to 50,19225
female-Hong Kong Island-51 to 55,23873
female-Hong Kong Island-56 to 60,23789
female-Hong Kong Island-61 to 65,20009
female-Hong Kong Island-66 to 70,16835
female-Hong Kong Island-71 or above,22375

female-Kowloon West-18 to 20,3865
female-Kowloon West-21 to 25,7937
female-Kowloon West-26 to 30,8524
female-Kowloon West-31 to 35,9106
female-Kowloon West-36 to 40,10298
female-Kowloon West-41 to 45,12890
female-Kowloon West-46 to 50,13730
female-Kowloon West-51 to 55,15297
female-Kowloon West-56 to 60,15619
female-Kowloon West-61 to 65,13884
female-Kowloon West-66 to 70,12566
female-Kowloon West-71 or above,18462
female-Kowloon East-18 to 20,5756
female-Kowloon East-21 to 25,11119
female-Kowloon East-26 to 30,9986
female-Kowloon East-31 to 35,9757
female-Kowloon East-36 to 40,10333
female-Kowloon East-41 to 45,12815
female-Kowloon East-46 to 50,15737
female-Kowloon East-51 to 55,19775
female-Kowloon East-56 to 60,19338
female-Kowloon East-61 to 65,15914
female-Kowloon East-66 to 70,14197
female-Kowloon East-71 or above,25123
female-New Territories West-18 to 20,10383
female-New Territories West-21 to 25,22190
female-New Territories West-26 to 30,21031
female-New Territories West-31 to 35,21607  
female-New Territories West-36 to 40,22381
female-New Territories West-41 to 45,25150
female-New Territories West-46 to 50,30202
female-New Territories West-51 to 55,37737
female-New Territories West-56 to 60,36443
female-New Territories West-61 to 65,28770
female-New Territories West-66 to 70,21403
female-New Territories West-71 or above,26845

female-New Territories East-18 to 20,10250
female-New Territories East-21 to 25,21403
female-New Territories East-26 to 30,22576
female-New Territories East-31 to 35,22763
female-New Territories East-36 to 40,21296
female-New Territories East-41 to 45,23762
female-New Territories East-46 to 50,28375
female-New Territories East-51 to 55,37342
female-New Territories East-56 to 60,37438
female-New Territories East-61 to 65,27367
female-New Territories East-66 to 70,19012
female-New Territories East-71 or above,21626
